Diff. freq.	SPL
Hz	dB
1000	44.033350406 
1500	46.955911119 
2000	49.659069155 
2500	51.953460583 
3000	54.662928746 
3500	60.935311206 
4000	62.856951138 
4500	58.573324964 
5000	57.076127519 
5500	53.380578754 
6000	52.837533833 
6500	51.141103565 
7000	49.907965544 
7500	49.192252305 
8000	48.921641956 
8500	47.619278384 
9000	46.675696830 
9500	47.200600247 
10000	46.086597244 
10500	44.593924878 
11000	43.118200594 
11500	42.923003849 
12000	43.536878731 
12500	43.203566290 
13000	42.333134611 
13500	42.167232631 
14000	42.167232631 
14500	41.233452131 
15000	41.260055183 
15500	42.790392271 
16000	43.010299957 
16500	44.299459741 
17000	40.796334007 
17500	34.942241869 
18000	40.852192010 
18500	48.504999654 
19000	49.030899870 
19500	35.829861104 
20000	34.196460175 
