freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.000000e+04	 3.399044e-05	 6.328871e-05	 1.642180e-04	 3.435101e-04	 6.932000e-04	 1.735390e-03
1.001126e+04	 3.385937e-05	 6.332974e-05	 1.703963e-04	 3.338238e-04	 7.000909e-04	 1.691520e-03
1.002253e+04	 3.302915e-05	 6.588142e-05	 1.721330e-04	 3.384674e-04	 7.066892e-04	 1.769565e-03
1.003382e+04	 3.200637e-05	 7.099110e-05	 1.772705e-04	 3.392295e-04	 7.142373e-04	 1.795827e-03
1.004512e+04	 3.584539e-05	 6.963009e-05	 1.767950e-04	 3.393292e-04	 7.112114e-04	 1.796972e-03
1.005643e+04	 3.295131e-05	 6.875453e-05	 1.780344e-04	 3.414828e-04	 7.153507e-04	 1.776902e-03
1.006775e+04	 3.564847e-05	 6.686352e-05	 1.763624e-04	 3.444118e-04	 7.102481e-04	 1.760386e-03
1.007909e+04	 3.422684e-05	 6.839936e-05	 1.758924e-04	 3.560306e-04	 7.016813e-04	 1.749285e-03
1.009044e+04	 3.646805e-05	 7.038043e-05	 1.746977e-04	 3.563792e-04	 6.961223e-04	 1.789235e-03
1.010180e+04	 3.456971e-05	 6.906249e-05	 1.767453e-04	 3.569994e-04	 6.855880e-04	 1.812610e-03
1.011318e+04	 3.440071e-05	 7.055671e-05	 1.755942e-04	 3.556716e-04	 6.831344e-04	 1.813499e-03
1.012456e+04	 3.425705e-05	 7.146844e-05	 1.790247e-04	 3.595832e-04	 6.853994e-04	 1.897506e-03
1.013596e+04	 3.583510e-05	 7.209310e-05	 1.795514e-04	 3.563983e-04	 6.874863e-04	 1.918820e-03
1.014738e+04	 3.837319e-05	 7.139243e-05	 1.837617e-04	 3.659173e-04	 7.041877e-04	 1.893750e-03
1.015880e+04	 3.904952e-05	 7.212473e-05	 1.836773e-04	 3.689820e-04	 7.205725e-04	 1.876055e-03
1.017024e+04	 3.691733e-05	 7.164274e-05	 1.892811e-04	 3.690670e-04	 7.240120e-04	 1.918327e-03
1.018170e+04	 3.773022e-05	 7.426307e-05	 1.915421e-04	 3.749746e-04	 7.350756e-04	 1.970838e-03
1.019316e+04	 3.984238e-05	 7.896184e-05	 1.947892e-04	 3.880317e-04	 7.572229e-04	 1.967790e-03
1.020464e+04	 3.824326e-05	 8.043268e-05	 1.986803e-04	 3.905658e-04	 7.716046e-04	 1.967484e-03
1.021613e+04	 3.855745e-05	 7.651525e-05	 1.970458e-04	 3.896562e-04	 7.898850e-04	 1.975769e-03
1.022763e+04	 3.833380e-05	 7.613735e-05	 2.001501e-04	 3.893688e-04	 8.121985e-04	 2.010547e-03
1.023915e+04	 4.107285e-05	 7.493290e-05	 2.000540e-04	 3.900247e-04	 8.205677e-04	 2.080560e-03
1.025068e+04	 3.977754e-05	 7.348338e-05	 1.958390e-04	 3.934670e-04	 8.345541e-04	 2.110005e-03
1.026222e+04	 3.970415e-05	 7.546256e-05	 1.989652e-04	 4.056193e-04	 3.716154e-04	 2.119016e-03
1.027378e+04	 4.358767e-05	 7.686135e-05	 2.020273e-04	 4.110038e-04	 8.411756e-04	 2.112682e-03
1.028535e+04	 4.115142e-05	 7.815290e-05	 2.046450e-04	 4.167243e-04	 8.476354e-04	 2.112551e-03
1.029693e+04	 4.018195e-05	 8.148581e-05	 2.053479e-04	 4.190508e-04	 8.384621e-04	 2.196747e-03
1.030852e+04	 3.999675e-05	 7.947646e-05	 2.099975e-04	 4.187069e-04	 8.310874e-04	 2.230757e-03
1.032013e+04	 4.360064e-05	 8.343904e-05	 2.134012e-04	 4.237535e-04	 8.314388e-04	 2.249097e-03
