freq	 01Vpk	 02Vpk	 05Vpk	 10Vpk	 20Vpk	 50Vpk
Hz	 m/s	 m/s	 m/s	 m/s	 m/s	 m/s
1.000000e+04	 1.338614e-04	 2.714324e-04	 6.743999e-04	 1.371588e-03	 2.702834e-03	 6.924235e-03
1.001126e+04	 1.350962e-04	 2.756535e-04	 6.998658e-04	 1.418433e-03	 2.779402e-03	 7.129308e-03
1.002253e+04	 1.406775e-04	 2.831556e-04	 7.249339e-04	 1.467890e-03	 2.869634e-03	 7.381414e-03
1.003382e+04	 1.490995e-04	 2.922969e-04	 7.514290e-04	 1.534840e-03	 2.970415e-03	 7.648472e-03
1.004512e+04	 1.530259e-04	 3.083425e-04	 7.842377e-04	 1.594105e-03	 3.082184e-03	 7.955111e-03
1.005643e+04	 1.572693e-04	 3.170756e-04	 8.165199e-04	 1.657895e-03	 3.204691e-03	 8.275904e-03
1.006775e+04	 1.608715e-04	 3.354126e-04	 8.501997e-04	 1.729826e-03	 3.352972e-03	 8.645654e-03
1.007909e+04	 1.683850e-04	 3.475914e-04	 8.921333e-04	 1.796320e-03	 3.520558e-03	 9.077715e-03
1.009044e+04	 1.818899e-04	 3.638599e-04	 9.339621e-04	 1.872983e-03	 3.706489e-03	 9.546997e-03
1.010180e+04	 1.930673e-04	 3.761310e-04	 9.812961e-04	 1.959253e-03	 3.905372e-03	 1.004733e-02
1.011318e+04	 1.997904e-04	 4.000119e-04	 1.036487e-03	 2.044180e-03	 4.115982e-03	 1.055711e-02
1.012456e+04	 2.073118e-04	 4.205679e-04	 1.081635e-03	 2.147341e-03	 4.336946e-03	 1.111512e-02
1.013596e+04	 2.174057e-04	 4.379554e-04	 1.133299e-03	 2.254481e-03	 4.564073e-03	 1.164942e-02
1.014738e+04	 2.277319e-04	 4.566047e-04	 1.171161e-03	 2.384788e-03	 4.780783e-03	 1.215187e-02
1.015880e+04	 2.262853e-04	 4.812058e-04	 1.214335e-03	 2.504645e-03	 4.961850e-03	 1.247881e-02
1.017024e+04	 2.319863e-04	 4.924660e-04	 1.256419e-03	 2.588220e-03	 5.121297e-03	 1.262637e-02
1.018170e+04	 2.340174e-04	 5.025249e-04	 1.290847e-03	 2.623217e-03	 5.166852e-03	 1.255304e-02
1.019316e+04	 2.358452e-04	 5.071541e-04	 1.304483e-03	 2.617737e-03	 5.120853e-03	 1.230973e-02
1.020464e+04	 2.337182e-04	 5.016645e-04	 1.284616e-03	 2.560779e-03	 4.990257e-03	 1.190802e-02
1.021613e+04	 2.252541e-04	 4.836540e-04	 1.247744e-03	 2.459052e-03	 4.775686e-03	 1.135280e-02
1.022763e+04	 2.134076e-04	 4.648505e-04	 1.185838e-03	 2.317530e-03	 4.522957e-03	 1.072699e-02
1.023915e+04	 2.037926e-04	 4.367357e-04	 1.123312e-03	 2.161424e-03	 4.227907e-03	 1.002350e-02
1.025068e+04	 1.884826e-04	 4.094079e-04	 1.037377e-03	 1.996434e-03	 3.934151e-03	 9.317639e-03
1.026222e+04	 1.774158e-04	 3.828859e-04	 9.572582e-04	 1.828860e-03	 3.634478e-03	 8.602514e-03
1.027378e+04	 1.619138e-04	 3.532146e-04	 8.800774e-04	 1.656516e-03	 3.348434e-03	 7.944224e-03
