freq	Measured velocity
Hz	m/s
55000	3.300E-04
55020	3.320E-04
55040	3.360E-04
55060	3.400E-04
55080	3.440E-04
55100	3.460E-04
55120	3.520E-04
55140	3.600E-04
55160	3.640E-04
55180	3.700E-04
55200	3.780E-04
55220	3.820E-04
55240	3.880E-04
55260	3.960E-04
55280	4.020E-04
55300	4.120E-04
55320	4.180E-04
55340	4.220E-04
55360	4.280E-04
55380	4.380E-04
55400	4.460E-04
55420	4.560E-04
55440	4.580E-04
55460	4.720E-04
55480	4.880E-04
55500	5.040E-04
55520	5.180E-04
55540	5.360E-04
55560	5.460E-04
55580	5.680E-04
55600	5.840E-04
55620	6.020E-04
55640	6.140E-04
55660	6.280E-04
55680	6.420E-04
55700	6.520E-04
55720	6.600E-04
55740	6.720E-04
55760	6.900E-04
55780	7.040E-04
55800	7.280E-04
55820	7.500E-04
55840	7.760E-04
55860	8.000E-04
55880	8.240E-04
55900	8.400E-04
55920	8.600E-04
55940	8.760E-04
55960	9.000E-04
55980	9.260E-04
56000	9.480E-04
56020	9.780E-04
56040	1.010E-03
56060	1.040E-03
56080	1.072E-03
56100	1.108E-03
56120	1.138E-03
56140	1.194E-03
56160	1.242E-03
56180	1.294E-03
56200	1.354E-03
56220	1.420E-03
56240	1.504E-03
56260	1.582E-03
56280	1.664E-03
56300	1.746E-03
56320	1.832E-03
56340	1.920E-03
56360	1.996E-03
56380	2.080E-03
56400	2.120E-03
56420	2.180E-03
56440	2.220E-03
56460	2.220E-03
56480	2.200E-03
56500	2.160E-03
56520	2.120E-03
56540	2.060E-03
56560	1.968E-03
56580	1.898E-03
56600	1.822E-03
56620	1.746E-03
56640	1.672E-03
56660	1.594E-03
56680	1.528E-03
56700	1.454E-03
56720	1.386E-03
56740	1.326E-03
56760	1.282E-03
56780	1.230E-03
56800	1.192E-03
56820	1.146E-03
56840	1.112E-03
56860	1.072E-03
56880	1.042E-03
56900	1.010E-03
56920	9.800E-04
56940	9.600E-04
56960	9.320E-04
56980	9.060E-04
57000	8.800E-04
57020	8.580E-04
57040	8.360E-04
57060	8.120E-04
57080	7.940E-04
57100	7.740E-04
57120	7.540E-04
57140	7.420E-04
57160	7.240E-04
57180	7.120E-04
57200	6.920E-04
57220	6.800E-04
57240	6.660E-04
57260	6.560E-04
57280	6.460E-04
57300	6.300E-04
57320	6.220E-04
57340	6.100E-04
57360	6.020E-04
57380	5.940E-04
57400	5.820E-04
57420	5.760E-04
57440	5.660E-04
57460	5.640E-04
57480	5.540E-04
57500	5.440E-04
57520	5.380E-04
57540	5.320E-04
57560	5.220E-04
57580	5.100E-04
57600	5.000E-04
57620	4.900E-04
57640	4.820E-04
57660	4.760E-04
57680	4.660E-04
57700	4.620E-04
57720	4.560E-04
57740	4.500E-04
57760	4.440E-04
57780	4.400E-04
57800	4.360E-04
57820	4.320E-04
57840	4.280E-04
57860	4.220E-04
57880	4.180E-04
57900	4.120E-04
57920	4.100E-04
57940	4.040E-04
57960	4.020E-04
57980	3.960E-04
58000	3.940E-04
58020	3.900E-04
58040	3.860E-04
58060	3.800E-04
58080	3.760E-04
58100	3.740E-04
58120	3.720E-04
58140	3.660E-04
58160	3.640E-04
58180	3.600E-04
58200	3.580E-04
58220	3.560E-04
58240	3.520E-04
58260	3.480E-04
58280	3.480E-04
58300	3.420E-04
58320	3.420E-04
58340	3.380E-04
58360	3.340E-04
58380	3.320E-04
58400	3.300E-04
58420	3.240E-04
58440	3.220E-04
58460	3.200E-04
58480	3.180E-04
58500	3.140E-04
58520	3.120E-04
58540	3.120E-04
58560	3.080E-04
58580	3.060E-04
58600	3.040E-04
58620	3.020E-04
58640	3.000E-04
58660	2.960E-04
58680	2.940E-04
58700	2.920E-04
58720	2.900E-04
58740	2.860E-04
58760	2.860E-04
58780	2.820E-04
58800	2.820E-04
58820	2.800E-04
58840	2.780E-04
58860	2.760E-04
58880	2.760E-04
58900	2.740E-04
58920	2.740E-04
58940	2.720E-04
58960	2.700E-04
58980	2.680E-04
59000	2.660E-04
59020	2.640E-04
59040	2.620E-04
59060	2.620E-04
59080	2.580E-04
59100	2.560E-04
59120	2.540E-04
59140	2.520E-04
59160	2.520E-04
59180	2.500E-04
59200	2.480E-04
59220	2.460E-04
59240	2.440E-04
59260	2.440E-04
59280	2.420E-04
59300	2.400E-04
59320	2.400E-04
59340	2.380E-04
59360	2.380E-04
59380	2.360E-04
59400	2.340E-04
59420	2.320E-04
59440	2.320E-04
59460	2.300E-04
59480	2.300E-04
59500	2.280E-04
59520	2.260E-04
59540	2.260E-04
59560	2.240E-04
59580	2.220E-04
59600	2.200E-04
59620	2.180E-04
59640	2.140E-04
59660	2.140E-04
59680	2.120E-04
59700	2.100E-04
59720	2.080E-04
59740	2.060E-04
59760	2.040E-04
