freq	SPL
Hz	dB
60000	7.034E+01
60014.66276	7.128E+01
60029.32551	7.095E+01
60043.98827	6.855E+01
60058.65103	6.594E+01
60073.31378	6.424E+01
60087.97654	6.376E+01
60102.6393	6.428E+01
60117.30205	6.542E+01
60131.96481	6.677E+01
60146.62757	6.774E+01
60161.29032	6.771E+01
60175.95308	6.689E+01
60190.61584	6.588E+01
60205.27859	6.512E+01
60219.94135	6.372E+01
60234.60411	5.943E+01
60249.26686	5.554E+01
60263.92962	5.729E+01
60278.59238	6.128E+01
60293.25513	6.381E+01
60307.91789	6.536E+01
60322.58065	6.638E+01
60337.2434	6.690E+01
60351.90616	6.718E+01
60366.56891	6.745E+01
60381.23167	6.745E+01
60395.89443	6.715E+01
60410.55718	6.689E+01
60425.21994	6.664E+01
60439.8827	6.628E+01
60454.54545	6.622E+01
60469.20821	6.665E+01
60483.87097	6.722E+01
60498.53372	6.775E+01
60513.19648	6.825E+01
60527.85924	6.867E+01
60542.52199	6.892E+01
60557.18475	6.884E+01
60571.84751	6.851E+01
60586.51026	6.822E+01
60601.17302	6.804E+01
60615.83578	6.786E+01
60630.49853	6.756E+01
60645.16129	6.710E+01
60659.82405	6.660E+01
60674.4868	6.619E+01
60689.14956	6.600E+01
60703.81232	6.610E+01
60718.47507	6.639E+01
60733.13783	6.646E+01
60747.80059	6.639E+01
60762.46334	6.665E+01
60777.1261	6.691E+01
60791.78886	6.687E+01
60806.45161	6.689E+01
60821.11437	6.701E+01
60835.77713	6.684E+01
60850.43988	6.625E+01
60865.10264	6.531E+01
60879.7654	6.416E+01
60894.42815	6.317E+01
60909.09091	6.291E+01
60923.75367	6.302E+01
60938.41642	6.268E+01
60953.07918	6.223E+01
60967.74194	6.209E+01
60982.40469	6.208E+01
60997.06745	6.201E+01
61011.73021	6.174E+01
61026.39296	6.127E+01
61041.05572	6.076E+01
61055.71848	6.063E+01
61070.38123	6.094E+01
61085.04399	6.116E+01
61099.70674	6.114E+01
61114.3695	6.093E+01
61129.03226	6.057E+01
61143.69501	6.028E+01
61158.35777	6.053E+01
61173.02053	6.115E+01
61187.68328	6.151E+01
61202.34604	6.169E+01
61217.0088	6.188E+01
61231.67155	6.190E+01
61246.33431	6.172E+01
61260.99707	6.158E+01
61275.65982	6.144E+01
61290.32258	6.121E+01
61304.98534	6.104E+01
61319.64809	6.104E+01
61334.31085	6.118E+01
61348.97361	6.143E+01
61363.63636	6.177E+01
61378.29912	6.199E+01
61392.96188	6.202E+01
61407.62463	6.226E+01
61422.28739	6.275E+01
61436.95015	6.323E+01
61451.6129	6.358E+01
61466.27566	6.377E+01
61480.93842	6.392E+01
61495.60117	6.415E+01
61510.26393	6.458E+01
61524.92669	6.500E+01
61539.58944	6.514E+01
61554.2522	6.525E+01
61568.91496	6.548E+01
61583.57771	6.560E+01
61598.24047	6.556E+01
61612.90323	6.549E+01
61627.56598	6.546E+01
61642.22874	6.550E+01
61656.8915	6.561E+01
61671.55425	6.582E+01
61686.21701	6.614E+01
61700.87977	6.651E+01
61715.54252	6.680E+01
61730.20528	6.692E+01
61744.86804	6.688E+01
61759.53079	6.680E+01
61774.19355	6.677E+01
61788.8563	6.680E+01
61803.51906	6.673E+01
61818.18182	6.651E+01
61832.84457	6.639E+01
61847.50733	6.642E+01
61862.17009	6.641E+01
61876.83284	6.637E+01
61891.4956	6.635E+01
61906.15836	6.641E+01
61920.82111	6.662E+01
61935.48387	6.696E+01
61950.14663	6.726E+01
61964.80938	6.733E+01
61979.47214	6.728E+01
61994.1349	6.724E+01
62008.79765	6.718E+01
62023.46041	6.709E+01
62038.12317	6.692E+01
62052.78592	6.668E+01
62067.44868	6.641E+01
62082.11144	6.617E+01
62096.77419	6.600E+01
62111.43695	6.589E+01
62126.09971	6.580E+01
62140.76246	6.573E+01
62155.42522	6.563E+01
62170.08798	6.555E+01
62184.75073	6.565E+01
62199.41349	6.590E+01
62214.07625	6.613E+01
62228.739	6.619E+01
62243.40176	6.608E+01
62258.06452	6.598E+01
62272.72727	6.588E+01
62287.39003	6.569E+01
62302.05279	6.561E+01
62316.71554	6.579E+01
62331.3783	6.591E+01
62346.04106	6.586E+01
62360.70381	6.585E+01
62375.36657	6.607E+01
62390.02933	6.654E+01
62404.69208	6.695E+01
62419.35484	6.711E+01
62434.0176	6.719E+01
62448.68035	6.726E+01
62463.34311	6.728E+01
62478.00587	6.733E+01
62492.66862	6.739E+01
62507.33138	6.722E+01
