% Model:              230406 -Langevin, stepped-horn and plate.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 6 2023, 23:21
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Point graph
% freq (Hz)               abs(solid2.u_tZ)
10000                     6.141186882838549E-4
10014.401517070231        6.178709188702479E-4
10028.823774509836        6.217009674681604E-4
10043.26680218813         6.25611814248912E-4
10057.730630017391        6.296065964217128E-4
10072.21528795297         6.336886187545013E-4
10086.72080599342         6.378613649523198E-4
10101.247214180417        6.421285099758348E-4
10115.794542598982        6.464939333920692E-4
10130.362821377403        6.509617338594926E-4
10144.952080687353        6.555362448617054E-4
10159.562350744023        6.602220518170569E-4
10174.193661806055        6.650240107065988E-4
10188.846044175669        6.699472683800697E-4
10203.519528198785        6.749972847188956E-4
10218.214144264966        6.801798568573475E-4
10232.929922807536        6.855011456884957E-4
10247.666894303717        6.90967704910369E-4
10262.425089274553        6.965865129008687E-4
10277.204538285048        7.02365007748324E-4
10292.005271944287        7.083111258082022E-4
10306.827320905348        7.144333442070643E-4
10321.670715865543        7.207407277736501E-4
10336.535487566327        7.272429809442868E-4
10351.42166679343         7.339505052690646E-4
10366.32928437698         7.408744632366592E-4
10381.25837119144         7.480268492428345E-4
10396.20895815574         7.554205686533815E-4
10411.181076233397        7.630695260593776E-4
10426.174756432461        7.709887239962035E-4
10441.190029805639        7.791943736030851E-4
10456.226927450416        7.877040189427077E-4
10471.285480508985        7.965366769893849E-4
10486.365720168467        8.057129956394537E-4
10501.467677660838        8.152554325097565E-4
10516.591384263047        8.251884577868306E-4
10531.73687129716         8.355387849875383E-4
10546.904170130278        8.463356342167546E-4
10562.093312174678        8.576110333899249E-4
10577.304328887945        8.694001639650635E-4
10592.537251772897        8.817417590507147E-4
10607.792112377723        8.946785633869794E-4
10623.068942296111        9.082578667165392E-4
10638.367773167183        9.225321245795092E-4
10653.68863667563         9.375596837196292E-4
10669.031564551831        9.534056332619361E-4
10684.396588571783        9.70142807859216E-4
10699.783740557328        9.878529754327463E-4
10715.193052376071        0.0010066282503893742
10730.624555941511        0.0010265727838840667
10746.078283213175        0.0010478047966303976
10761.55426619655         0.0010704590380791717
10777.052536943213        0.0010946897800755242
10792.57312755097         0.0011206744856092148
10808.116070163785        0.0011486183372016972
10823.681396971915        0.0011787598694698671
10839.269140212038        0.001211378033272131
10854.879332167176        0.0012468011346962369
10870.512005166927        0.0012854182562566099
10886.167191587385        0.0013276940034387017
10901.844923851268        0.0013741877637134397
10917.545234428055        0.0014255791754837893
10933.268155833919        0.0014827022755871371
10949.013720631863        0.0015465919829818963
10964.78196143185         0.00161854845074141
10980.572910890744        0.0017002278476072274
10996.386601712433        0.0017937731623518683
11012.223066647977        0.0019020072470263105
11028.08233849553         0.0020287256207936603
11043.964450100484        0.0021791548406091808
11059.8694343556          0.0023606970071252623
11075.797324200918        0.0025841929446536217
11091.748152624008        0.002866180877318632
11107.721952659882        0.003233203930060773
11123.718757391121        0.003730719614025827
11139.738599948023        0.004443584955005915
11155.781513508531        0.0055504869304448725
11171.847531298365        0.007502778715156829
11187.936686591167        0.011860404323237752
11204.049012708429        0.029761937021605532
11220.18454301963         0.041991173462129924
11236.343310942375        0.01260790547317016
11252.525349942303        0.007194920757652303
11268.730693533345        0.004948142001745032
11284.959375277622        0.0037195662397011596
11301.211428785593        0.0029449853722747694
11317.486887716188        0.002411920814064126
11333.785785776745        0.0020225598654656737
11350.108156723143        0.0017256150447035755
11366.454034359946        0.0014916056900302385
11382.82345254033         0.0013023830353694078
11399.216445166227        0.0011461633832049295
11415.633046188459        0.0010149628758740516
11432.073289606678        9.03180228646716E-4
11448.537209469496        8.067697214371245E-4
11465.024839874632        7.227362813338257E-4
11481.536214968817        6.488152341078661E-4
11498.071368948053        5.832624579323161E-4
11514.630336057518        5.247129506099468E-4
11531.21315059171         4.7208313112156915E-4
11547.819846894581        4.245018718421878E-4
11564.450459359483        3.812608653462743E-4
11581.105022429292        3.4177828484405654E-4
11597.783570596557        3.0557176230513046E-4
11614.486138403438        2.7223801186362516E-4
11631.212760441833        2.4143726794323688E-4
11647.963471353532        2.1288126264622803E-4
11664.738305830124        1.863238401533334E-4
11681.537298613242        1.6155356167508875E-4
11698.360484494497        1.383878338785768E-4
11715.20789831559         1.1666822453795838E-4
11732.07957496848         9.625673464050886E-5
11748.975549395303        7.7032909294129E-5
11765.895856588515        5.889188551774215E-5
11782.840531591037        4.17442448117025E-5
11799.809609496191        2.5523218230176205E-5
11816.80312544783         1.0269379165783441E-5
11833.821114640501        5.365845799083183E-6
11850.863612319357        1.888909062416763E-5
11867.930653780315        3.2159594562943836E-5
11885.022274370189        4.487508266183656E-5
11902.138509486607        5.7050050569463396E-5
11919.27939457827         6.871671128606474E-5
11936.44496514486         7.990826196344858E-5
11953.635256737178        9.065614330159781E-5
11970.8503049573          1.0098951138287821E-4
11988.090145458504        1.1093523152004585E-4
12005.354813945409        1.2051801630781676E-4
12022.644346174131        1.297606002945421E-4
12039.958777952206        1.3868391621093095E-4
12057.298145138739        1.4730726082339685E-4
12074.662483644548        1.556484467476501E-4
12092.051829432072        1.6372393971586608E-4
12109.466218515641        1.7154898201187895E-4
12126.905686961378        1.791377032235623E-4
12144.370270887339        1.865032195662946E-4
12161.86000646368         1.9365772299505363E-4
12179.374929912565        2.0061256123061656E-4
12196.915077508329        2.0737830971561677E-4
12214.48048557762         2.1396483640502347E-4
12232.071190499326        2.2038136019145592E-4
12249.687228704728        2.2663650367141255E-4
12267.328636677647        2.327383408738627E-4
12284.995450954373        2.3869444049824933E-4
12302.68770812381         2.445119051438235E-4
12320.405444827638        2.501974069548555E-4
12338.1486977602          2.5575722005629855E-4
12355.917503668785        2.6119725011113434E-4
12373.711899353531        2.6652306129207624E-4
12391.531921667574        2.717399009273572E-4
12409.377607517195        2.768527220509124E-4
12427.248993861756        2.818662040616418E-4
12445.146117713844        2.8678477167419584E-4
12463.069016139423        2.916126123237751E-4
12481.017726257764        2.963536921700491E-4
12498.992285241595        3.010117708301452E-4
12516.992730317255        3.0559041495694246E-4
12535.019098764593        3.100930107669107E-4
12553.071427917246        3.145227756113552E-4
12571.149755162545        3.1888276867516084E-4
12589.254117941662        3.231759008791051E-4
12607.384553749764        3.27404944054146E-4
12625.541100135944        3.315725394494723E-4
12643.723794703372        3.356812056303297E-4
12661.932675109443        3.3973334581619523E-4
12680.167779065714        3.4373125470513974E-4
12698.42914433805         3.4767712482612173E-4
12716.716808746782        3.515730524569971E-4
12735.030810166629        3.5542104314262177E-4
12753.371186526858        3.5922301684448006E-4
12771.737975811435        3.62980812750369E-4
12790.131216058926        3.6669619377015337E-4
12808.550945362784        3.7037085074155226E-4
12826.997201871241        3.7400640636757265E-4
12845.470023787473        3.7760441890566723E-4
12863.969449369744        3.811663856268336E-4
12882.495516931349        3.84693746061361E-4
12901.04826484075         3.8818788504670293E-4
12919.627731521749        3.9165013559155687E-4
12938.233955453405        3.9508178156912033E-4
12956.86697517019         3.9848406025155445E-4
12975.526829262153        4.018581646966594E-4
12994.213556374814        4.05205245996858E-4
13012.927195209451        4.08526415399998E-4
13031.667784523           4.1182274631049523E-4
13050.435363128214        4.1509527617893983E-4
13069.229969893819        4.18345008287528E-4
13088.05164374444         4.215729134381418E-4
13106.90042366076         4.247799315495137E-4
13125.776348679678        4.279669731693257E-4
13144.679457894234        4.3113492090667704E-4
13163.609790453766        4.342846307900734E-4
13182.567385564074        4.374169335556331E-4
13201.552282487342        4.4053263586983784E-4
13220.564520542295        4.4363252149101607E-4
13239.604139104365        4.4671735237331413E-4
13258.67117760558         4.497878697166592E-4
13277.765675534869        4.528447949661404E-4
13296.887672437944        4.558888307637553E-4
13316.037207917474        4.5892066185552696E-4
13335.21432163324         4.619409559566386E-4
13354.419053302061        4.6495036457707187E-4
13373.651442697948        4.6794952381019E-4
13392.911529652283        4.7093905508644E-4
13412.199354053722        4.739195658942079E-4
13431.514955848372        4.7689165046985437E-4
13450.858375039945        4.79855890458717E-4
13470.229651689657        4.828128555487526E-4
13489.628825916532        4.857631040785509E-4
13509.055937897287        4.887071836210962E-4
13528.511027866492        4.9164563154483E-4
13547.994136116757        4.945789755533134E-4
13567.505302998625        4.975077342047263E-4
13587.044568920757        5.004324174124882E-4
13606.61197435009         5.03353526928087E-4
13626.207559811752        5.062715568071671E-4
13645.831365889238        5.091869938599645E-4
13665.483433224574        5.121003180870151E-4
13685.16380251823         5.150120031010229E-4
13704.87251452929         5.179225165358233E-4
13724.609610075626        5.208323204432479E-4
13744.375130033775        5.237418716786172E-4
13764.16911533926         5.266516222757436E-4
13783.991606986472        5.295620198120128E-4
13803.842646028837        5.324735077643537E-4
13823.722273578996        5.353865258567054E-4
13843.630530808705        5.383015103995715E-4
13863.567458949019        5.412188946223551E-4
13883.533099290456        5.441391089990045E-4
13903.527493182912        5.470625815675068E-4
13923.550682035835        5.49989738243844E-4
13943.602707318392        5.52921003130894E-4
13963.683610559363        5.558567988227553E-4
13983.79343334744         5.587975467050803E-4
14003.932217331136        5.617436672517884E-4
14024.100004218933        5.646955803187194E-4
14044.296835779474        5.676537054346575E-4
14064.522753841462        5.706184620901266E-4
14084.777800293845        5.735902700244849E-4
14105.06201708598         5.765695495117094E-4
14125.375446227554        5.795567216452669E-4
14145.718129788755        5.825522086225715E-4
14166.090109900439        5.855564340294104E-4
14186.491428754056        5.885698231247245E-4
14206.922128601816        5.915928031262384E-4
14227.382251756868        5.946258034973149E-4
14247.871840593178        5.976692562354174E-4
14268.390937545855        6.007235961627076E-4
14288.939585111037        6.037892612190725E-4
14309.517825846056        6.068666927581178E-4
14330.125702369627        6.099563358465232E-4
14350.763257361752        6.13058639567155E-4
14371.430533563898        6.161740573264672E-4
14392.127573779175        6.193030471666064E-4
14412.854420872249        6.224460720826491E-4
14433.611117769515        6.256036003455248E-4
14454.39770745928         6.287761058310834E-4
14475.21423299164         6.319640683557523E-4
14496.060737478809        6.351679740194271E-4
14516.937264095           6.383883155559873E-4
14537.843856076606        6.416255926921011E-4
14558.780556722371        6.448803125148519E-4
14579.747409393312        6.481529898487317E-4
14600.744457512887        6.514441476426988E-4
14621.771744567182        6.547543173678994E-4
14642.829314104825        6.580840394266751E-4
14663.917209737152        6.614338635736286E-4
14685.035475138402        6.648043493494331E-4
14706.184154045619        6.681960665280973E-4
14727.363290258834        6.716095955785502E-4
14748.572927641251        6.750455281413456E-4
14769.813110119121        6.785044675212856E-4
14791.083881682072        6.819870291970014E-4
14812.385286383           6.854938413482968E-4
14833.717368338239        6.890255454023723E-4
14855.08017172775         6.925827965999326E-4
14876.47374079503         6.961662645822495E-4
14897.898119847292        6.997766340004157E-4
14919.353353255648        7.034146051479945E-4
14940.83948545502         7.07080894618298E-4
14962.356560944329        7.107762359877607E-4
14983.904624286663        7.14501380526805E-4
15005.48372010917         7.182570979396694E-4
15027.093893103394        7.220441771349464E-4
15048.735188025144        7.258634270283768E-4
15070.40764969469         7.29715677379843E-4
15092.111322996932        7.336017796664213E-4
15113.846252881329        7.375226079934734E-4
15135.612484362071        7.414790600460319E-4
15157.410062518267        7.454720580827137E-4
15179.239032493853        7.495025499745371E-4
15201.09943949778         7.535715102913273E-4
15222.991328804204        7.576799414384007E-4
15244.91474575238         7.618288748463843E-4
15266.869735746868        7.660193722174025E-4
15288.856344257703        7.702525268308562E-4
15310.874616820287        7.745294649122914E-4
15332.92459903572         7.788513470692399E-4
15355.00633657068         7.832193697978787E-4
15377.119875157612        7.876347670649364E-4
15399.26526059492         7.920988119693573E-4
15421.44253874687         7.966128184885601E-4
15443.651755543773        8.011781433146327E-4
15465.892956982192        8.057961877859998E-4
15488.166189124828        8.104683999204987E-4
15510.471498100722        8.151962765564068E-4
15532.808930105448        8.199813656082361E-4
15555.178531400972        8.248252684446202E-4
15577.58034831602         8.29729642396395E-4
15600.014427245938        8.346962034031786E-4
15622.48081465289         8.397267288077898E-4
15644.97955706605         8.448230603082769E-4
15667.5107010815          8.499871070781061E-4
15690.074293362435        8.552208490660562E-4
15712.670380639343        8.605263404880695E-4
15735.299009709914        8.659057135242797E-4
15757.960227439235        8.713611822356897E-4
15780.654080759985        8.768950467159246E-4
15803.380616672333        8.825096974947482E-4
15826.139882244139        8.882076202116032E-4
15848.93192461114         8.939914005787427E-4
15871.756790976831        8.998637296551386E-4
15894.614528612814        9.058274094544554E-4
15917.505184858672        9.118853589118885E-4
15940.428807122164        9.180406202372946E-4
15963.385442879422        9.242963656841365E-4
15986.375139674854        9.306559047663768E-4
16009.397945121338        9.371226919585827E-4
16032.453906900417        9.437003349174335E-4
16055.543072762212        9.503926032663376E-4
16078.6654905256          9.572034379889489E-4
16101.821208078436        9.641369614814458E-4
16125.0102733774          9.711974883180984E-4
16148.232734448371        9.783895367902798E-4
16171.488639386294        9.857178412843097E-4
16194.77803635538         9.93187365570553E-4
